latitude,longitude,crime_rate,pollution_level,traffic_density,lighting_score,carbon_factor,hour_of_day,is_night,is_weekend,risk_score,adjusted_risk,risk_label,location
28.6562,77.241,0.29129407171425487,0.2625929290959622,0.2992417938809784,0.8990655512859704,0.2882471344454735,16,0,1,0.24833209927023958,0.24833209927023958,0,"Delhi (28.6562, 77.2410)"
28.653333333333332,77.2384111111111,0.46301085500232597,0.21921535977396736,0.750678898193188,0.8769292795826326,0.5912398366674217,13,0,0,0.3273448500615309,0.3273448500615309,1,"Delhi (28.6533, 77.2384)"
28.650466666666667,77.23582222222223,0.5360664043980838,0.37042417728818156,1.0,0.8899481980106119,0.8111272531864544,18,0,0,0.4021786097654945,0.4021786097654945,2,"Delhi (28.6505, 77.2358)"
28.6476,77.23323333333333,0.5212016069380317,0.24381191421606163,0.5077148947963501,0.5986663967693215,0.42854400062226355,21,1,1,0.5332923888770394,0.5332923888770394,2,"Delhi (28.6476, 77.2332)"
28.644733333333335,77.23064444444444,0.43950573026113354,0.3538601966739225,0.9246528635234644,0.8731221303129831,0.7534150634686019,10,0,0,0.3596304222090629,0.3596304222090629,1,"Delhi (28.6447, 77.2306)"
28.641866666666665,77.22805555555556,0.4084229386371718,0.3894373367900978,0.16909938635931188,0.5688035745259167,0.23520077148854762,4,1,0,0.4150557765244375,0.4150557765244375,2,"Delhi (28.6419, 77.2281)"
28.639,77.22546666666666,0.42162606287133975,0.3852940240300271,1.0,0.9468719482958444,0.815588207209008,8,0,0,0.34938053733401053,0.34938053733401053,1,"Delhi (28.6390, 77.2255)"
28.636133333333333,77.22287777777777,0.36008624235691516,0.25276128972869893,0.5031046303696864,0.8670460659640953,0.4280016281773901,22,1,0,0.36001049186221934,0.36001049186221934,1,"Delhi (28.6361, 77.2229)"
28.633266666666668,77.22028888888889,0.41458405157813266,0.29575805188078697,0.6036095837974016,0.8726673250943722,0.5112541242224172,12,0,0,0.2970548295364423,0.2970548295364423,1,"Delhi (28.6333, 77.2203)"
28.6304,77.2177,0.43233858726776864,0.2911855715477144,0.7095388031766061,0.902473995562732,0.5840328336879386,16,0,0,0.3112493842842984,0.3112493842842984,1,"Delhi (28.6304, 77.2177)"
28.6129,77.2295,0.3284730577691526,0.21427343502871868,0.32598012482749417,0.7523804603053533,0.2924681178878615,22,1,1,0.39719481736986106,0.39719481736986106,2,"Delhi (28.6129, 77.2295)"
28.603066666666667,77.22461111111112,0.32444929131190525,0.25341981950326076,0.7222076607499631,0.9028263561906399,0.5815713083759524,12,0,0,0.27152379397432735,0.27152379397432735,1,"Delhi (28.6031, 77.2246)"
28.593233333333334,77.21972222222223,0.42343908842967526,0.3586242068023295,0.2963368284907809,0.8026003835020734,0.31502304198424547,3,1,1,0.42786653002871805,0.42786653002871805,2,"Delhi (28.5932, 77.2197)"
28.5834,77.21483333333333,0.16083210966029662,0.25072056363618306,1.0,0.854830892839693,0.7752161690908549,8,0,0,0.26765557153479885,0.16059334292087932,0,"Delhi (28.5834, 77.2148)"
28.573566666666668,77.20994444444445,0.3126556524475607,0.3481322896374902,1.0,0.6907115196128983,0.804439686891247,19,0,0,0.3715648274171706,0.3715648274171706,2,"Delhi (28.5736, 77.2099)"
